127.0.0.1 - - [06/Jul/2022:09:04:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:47 +0900] "GET /IdolProject/ HTTP/1.1" 200 39944
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:47 +0900] "GET /IdolProject/resources/css/gnb.css HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:47 +0900] "GET /IdolProject/resources/css/main.css HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:47 +0900] "GET /IdolProject/resources/css/global.css HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:47 +0900] "GET /IdolProject/resources/css/all.min.css HTTP/1.1" 200 100804
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:47 +0900] "GET /IdolProject/resources/js/gnb.js HTTP/1.1" 200 4585
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:47 +0900] "GET /IdolProject/resources/upload/logo.png HTTP/1.1" 200 4239
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:47 +0900] "GET /IdolProject/resources/upload/images/IVE_GROUP2.jpg HTTP/1.1" 200 362707
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:47 +0900] "GET /IdolProject/resources/upload/images/bts.jpg HTTP/1.1" 200 117845
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:47 +0900] "GET /IdolProject/resources/upload/images/%EB%A5%B4%EC%84%B8%EB%9D%BC%ED%95%8C.jpg HTTP/1.1" 200 168838
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:47 +0900] "GET /IdolProject/resources/upload/images/STAYC_GROUP2.jpg HTTP/1.1" 200 708063
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:47 +0900] "GET /IdolProject/resources/upload/images/BLACKPINK_GROUP2.jpg HTTP/1.1" 200 99572
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:47 +0900] "GET /IdolProject/resources/upload/images/SHINEE_GROUP2.jpg HTTP/1.1" 200 439871
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:48 +0900] "GET /IdolProject/resources/upload/product/Aespa%20LOVE%20LETTER%20EARRINGSmain.jpg HTTP/1.1" 200 22363
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:04:48 +0900] "GET /IdolProject/resources/upload/product/SHINEE%20INFINITY%20RING%2011THmain.jpg HTTP/1.1" 200 22075
